Altium Designer Pick and Place Locations
C:\Users\matth\AppData\Local\TempReleases\Snapshot\1\Assembly Production\Assembly\Pick Place\FD-KL-ASM-SUB-PCB-MAIN_A5.txt

========================================================================================================================
File Design Information:

Date:       02/05/22
Time:       11:19
Revision:   Not in VersionControl
Variant:    Production
Units used: mm

Designator Comment                             Layer       Footprint                Center-X(mm) Center-Y(mm) Rotation Description                                                                                                   
R8         "RES 1.0M 1/4W 5% 1206"             BottomLayer RESC1206(3216)_L         3.9000mm     2.5500mm     0        "1 MOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Moisture Resistant Thick Film"                      
R7         "RES 4.7K 1/16W 1% 0402"            TopLayer    RESC0402(1005)_L         14.8000mm    78.6000mm    270      "4.7 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"                 
R6         "RES 21.5K 1/16W 1% 0402"           BottomLayer RESC0402(1005)_L         2.8000mm     83.6000mm    90       "21.5 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)"                                               
R5         "RES 15 OHM 1% 1/16W 0402"          BottomLayer RESC0402(1005)_L         15.2000mm    61.9000mm    90       "15 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)"                                                  
R4         "RES 100K 1/16W 1% 0402"            TopLayer    RESC0402(1005)_L         13.7000mm    78.6000mm    90       "100 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"                 
R3         "RES 10K 1/16W 1% 0402"             BottomLayer RESC0402(1005)_L         22.7000mm    7.1000mm     0        "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)"                                                 
Q1         DMP2104LP-7                         BottomLayer DIOD_-_XDFN-3_V          -1.1000mm    16.5825mm    270      "P-Channel 20 V 1.5A (Ta) 500mW (Ta) Surface Mount 3-DFN1411 (1.4x1.1)"                                       
LED10      IN-S63AT5UW                         TopLayer    LEDC0603(1608)65_L       9.9000mm     101.5000mm   180      "White - LED Indication - Discrete 3V 0603 (1608 Metric)"                                                     
LED9       IN-S63AT5A                          TopLayer    LEDC0603(1608)65_L       12.5000mm    101.5000mm   0        "Amber 605nm LED Indication - Discrete 1.9V 0603 (1608 Metric)"                                               
LED2       "KB DELPS2.DI-THVG-2J8L-Z555"       TopLayer    LEDC0603(1608)65_L       12.5000mm    100.4000mm   180      "Blue 466nm LED Indication - Discrete 2.8V 2-SMD 0603"                                                        
LED1       LTST-C191KRKT                       TopLayer    LEDC0603(1608)65_L       9.9000mm     100.4000mm   0        "Red 631nm LED Indication - Discrete 2V 0603 (1608 Metric)"                                                   
L5         BLM18PG221SH1D                      BottomLayer FBC0603(1608)90_L        6.7000mm     83.5000mm    270      "FERRITE BEAD 220 OHM 0603 1LN"                                                                               
L4         MLZ1608M220WT000                    BottomLayer INDC0603(1608)90_L       14.0000mm    43.4000mm    270      "22µH Shielded Multilayer Inductor 150mA 2.4Ohm 0603 (1608 Metric)"                                           
L2         MAKK2016T1R0M                       BottomLayer INDC0806(2016)100_V      21.3000mm    85.0000mm    90       "1 µH Shielded Wirewound Inductor 2.2 A 75mOhm Max 0806 (2016 Metric)"                                        
L1         MAKK2520H1R5M                       BottomLayer INDC1008(2520)100_V      3.9000mm     42.5500mm    90       "1.5 µH Shielded Wirewound Inductor 2.4 A 78mOhm Max 1008 (2520 Metric)"                                      
J3         009155003301006-2                   BottomLayer AVX_-_009155003301006_V  1.9450mm     7.9150mm     180      "3 Position Spring Battery Contact Connector Surface Mount, Right Angle"                                      
J2         503480-2200                         TopLayer    MOLX_-_503480-2200_V     11.2000mm    72.4500mm    0        "22 Position FFC, FPC Connector Contacts, Top and Bottom 0.020" (0.50mm) Surface Mount, Right Angle"          
FID6       FID1X2R                             BottomLayer FID1X2R                  1.4000mm     54.9000mm    0        "Fiducial - Round 1x2mm"                                                                                      
FID5       FID1X2R                             BottomLayer FID1X2R                  18.4000mm    -0.3000mm    0        "Fiducial - Round 1x2mm"                                                                                      
FID4       FID1X2R                             BottomLayer FID1X2R                  22.1000mm    95.3000mm    0        "Fiducial - Round 1x2mm"                                                                                      
FID3       FID1X2R                             TopLayer    FID1X2R                  17.6000mm    98.0000mm    180      "Fiducial - Round 1x2mm"                                                                                      
FID2       FID1X2R                             TopLayer    FID1X2R                  -0.4000mm    55.0000mm    180      "Fiducial - Round 1x2mm"                                                                                      
FID1       FID1X2R                             TopLayer    FID1X2R                  18.4000mm    -0.3000mm    180      "Fiducial - Round 1x2mm"                                                                                      
D4         RB751S40T1G                         BottomLayer ON_-_SOD-523_V           -1.3000mm    59.3000mm    180      "Diode Schottky 30V 30mA (DC) Surface Mount SOD-523"                                                          
D3         BZT585B15T-7                        BottomLayer DIOD_-_SOD-523-2_L       20.1000mm    41.3000mm    0        "Zener Diode 15V 350mW ±2% Surface Mount SOD-523"                                                             
D2         BZT585B15T-7                        BottomLayer DIOD_-_SOD-523-2_L       20.2000mm    45.9000mm    0        "Zener Diode 15V 350mW ±2% Surface Mount SOD-523"                                                             
D1         RB751S40T1G                         BottomLayer ON_-_SOD-523_V           20.9000mm    80.9000mm    0        "Diode Schottky 30V 30mA (DC) Surface Mount SOD-523"                                                          
CN1        UJC-HP-3-SMT-TR                     BottomLayer CUI_-_UJC-HP-3-SMT_V     11.2000mm    0.5500mm     180      "USB-C (USB TYPE-C) - Receptacle Connector 24 (6+18 Dummy) Position Surface Mount, Right Angle; Through Hole" 
C79        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       15.7500mm    9.4500mm     0        "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C77        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       9.0000mm     85.3000mm    90       "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C76        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       10.4000mm    86.0000mm    180      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C75        "CAP CER 4.7UF 10V 20% X5R 0402"    BottomLayer CAPC0402(1005)55_L       12.1000mm    88.0000mm    180      "4.7µF ±20% 10V Ceramic Capacitor X5R 0402 (1005 Metric)"                                                     
C74        "CAP CER 4.7UF 10V 20% X5R 0402"    BottomLayer CAPC0402(1005)55_L       12.5000mm    86.7000mm    90       "4.7µF ±20% 10V Ceramic Capacitor X5R 0402 (1005 Metric)"                                                     
C73        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       11.6000mm    86.4000mm    90       "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C72        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       9.0000mm     81.5000mm    270      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C71        "CAP CER 4.7UF 10V 20% X5R 0402"    BottomLayer CAPC0402(1005)55_L       8.0000mm     81.2000mm    270      "4.7µF ±20% 10V Ceramic Capacitor X5R 0402 (1005 Metric)"                                                     
C70        "CAP CER 4.7UF 10V 20% X5R 0402"    BottomLayer CAPC0402(1005)55_L       5.3000mm     84.2000mm    180      "4.7µF ±20% 10V Ceramic Capacitor X5R 0402 (1005 Metric)"                                                     
C69        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       12.9500mm    7.4500mm     90       "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C68        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       12.9500mm    5.8500mm     90       "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C67        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       13.7500mm    6.6500mm     90       "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C66        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       16.9500mm    7.4500mm     90       "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C65        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       14.1500mm    9.4500mm     0        "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C64        "CAP CER 0.033uF 25V 10% X7R 0402"  BottomLayer CAPC0402(1005)55_L       16.9500mm    9.0500mm     90       "0.033µF ±10% 25V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                   
C63        "CAP CER 1uF 25V 10% X5R 0402"      BottomLayer CAPC0402(1005)55_L       13.7500mm    8.2500mm     90       "1uF ±10% 25V Ceramic Capacitor X5R 0402 (1005 Metric)"                                                       
C62        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       0.6500mm     12.7261mm    0        "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C61        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       3.4500mm     13.4261mm    270      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C58        CAP CER 2.2uF 6.3V 10% X5R 0402     BottomLayer CAPC0402(1005)55_L       1.5000mm     76.1000mm    180      "2.2µF ±10% 6.3V Ceramic Capacitor X5R 0402 (1005 Metric)"                                                    
C57        "CAP CER 1000pF 1000V 10% X7R 0805" BottomLayer CAPC0805(2012)145_N      4.1500mm     0.3500mm     0        "1000pF ±10% 1000V (1kV) Ceramic Capacitor X7R 0805 (2012 Metric)"                                            
C53        "CAP CER 0.047uF 10V 10% X7R 0402"  BottomLayer CAPC0402(1005)55_L       17.7000mm    84.1000mm    0        "0.047µF ±10% 10V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                   
C52        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       22.7000mm    6.1000mm     0        "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C51        "CAP CER 1500pF 50V 10% X7R 0402"   BottomLayer CAPC0402(1005)55_L       22.1000mm    65.6000mm    0        "1500pF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                    
C50        CAP CER 2.2uF 6.3V 10% X5R 0402     BottomLayer CAPC0402(1005)55_L       23.8000mm    65.6000mm    180      "2.2µF ±10% 6.3V Ceramic Capacitor X5R 0402 (1005 Metric)"                                                    
C48        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       23.3000mm    41.4000mm    180      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C47        "CAP CER 220pF 50V 5% C0G 0402"     BottomLayer CAPC0402(1005)55_L       19.8000mm    42.4000mm    0        "220pF ±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)"                                                 
C46        "CAP CER 1500pF 50V 10% X7R 0402"   BottomLayer CAPC0402(1005)55_L       21.1000mm    42.8000mm    90       "1500pF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                    
C45        "CAP CER 1uF 25V 10% X5R 0402"      BottomLayer CAPC0402(1005)55_L       17.6000mm    44.5000mm    270      "1uF ±10% 25V Ceramic Capacitor X5R 0402 (1005 Metric)"                                                       
C44        "CAP CER 1uF 25V 10% X5R 0402"      BottomLayer CAPC0402(1005)55_L       1.0500mm     16.9261mm    0        "1uF ±10% 25V Ceramic Capacitor X5R 0402 (1005 Metric)"                                                       
C43        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       23.3000mm    45.9000mm    180      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C42        "CAP CER 220pF 50V 5% C0G 0402"     BottomLayer CAPC0402(1005)55_L       19.8000mm    47.0000mm    0        "220pF ±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)"                                                 
C41        "CAP CER 1500pF 50V 10% X7R 0402"   BottomLayer CAPC0402(1005)55_L       21.1000mm    47.4000mm    90       "1500pF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                    
C40        CAP CER 2.2uF 6.3V 10% X5R 0402     BottomLayer CAPC0402(1005)55_L       16.3000mm    45.6000mm    0        "2.2µF ±10% 6.3V Ceramic Capacitor X5R 0402 (1005 Metric)"                                                    
C39        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       19.6000mm    82.3000mm    90       "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C38        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       3.4500mm     16.6261mm    270      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C37        "CAP CER 0.1uF 16V 10% X7R 0402"    TopLayer    CAPC0402(1005)55_L       16.4000mm    75.1000mm    0        "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C36        "CAP CER 4.7UF 10V 20% X5R 0402"    BottomLayer CAPC0402(1005)55_L       23.4000mm    84.2000mm    0        "4.7µF ±20% 10V Ceramic Capacitor X5R 0402 (1005 Metric)"                                                     
C35        "CAP CER 4.7UF 10V 20% X5R 0402"    BottomLayer CAPC0402(1005)55_L       23.3000mm    88.1000mm    0        "4.7µF ±20% 10V Ceramic Capacitor X5R 0402 (1005 Metric)"                                                     
C34        "CAP CER 0.01uF 50V 10% X7R 0402"   BottomLayer CAPC0402(1005)55_L       8.8000mm     4.2000mm     0        "10000pF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                   
C33        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       -2.4000mm    42.3000mm    180      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C32        "CAP CER 10uF 6.3V 20% X5R 0603"    BottomLayer CAPC0603(1608)90_L       1.1500mm     46.0500mm    180      "10µF ±20% 6.3V Ceramic Capacitor X5R 0603 (1608 Metric)"                                                     
C31        "CAP CER 10uF 6.3V 20% X5R 0603"    BottomLayer CAPC0603(1608)90_L       1.1500mm     44.9500mm    180      "10µF ±20% 6.3V Ceramic Capacitor X5R 0603 (1608 Metric)"                                                     
C30        "CAP CER 10uF 6.3V 20% X5R 0603"    BottomLayer CAPC0603(1608)90_L       1.1500mm     40.1000mm    180      "10µF ±20% 6.3V Ceramic Capacitor X5R 0603 (1608 Metric)"                                                     
C29        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       0.4914mm     19.9000mm    90       "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C28        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       0.1000mm     94.5000mm    180      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C23        "CAP CER 0.1uF 16V 10% X7R 0402"    TopLayer    CAPC0402(1005)55_L       13.2000mm    75.1000mm    180      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C22        "CAP CER 0.1uF 16V 10% X7R 0402"    TopLayer    CAPC0402(1005)55_L       14.8000mm    75.1000mm    0        "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C20        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       6.6000mm     58.5000mm    180      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C19        "CAP CER 22uF 6.3V 20% X5R 0603"    BottomLayer CAPC0603(1608)90_L       1.1500mm     38.8000mm    180      "22µF ±20% 6.3V Ceramic Capacitor X5R 0603 (1608 Metric)"                                                     
C18        "CAP CER 0.1uF 16V 10% X7R 0402"    TopLayer    CAPC0402(1005)55_L       16.5000mm    92.5000mm    270      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C17        "CAP CER 1000pF 1000V 10% X7R 0805" BottomLayer CAPC0805(2012)145_N      20.7000mm    90.5000mm    180      "1000pF ±10% 1000V (1kV) Ceramic Capacitor X7R 0805 (2012 Metric)"                                            
C16        "CAP CER 4.7UF 10V 20% X5R 0402"    TopLayer    CAPC0402(1005)55_L       13.6000mm    98.5000mm    0        "4.7µF ±20% 10V Ceramic Capacitor X5R 0402 (1005 Metric)"                                                     
C15        "CAP CER 0.1uF 16V 10% X7R 0402"    TopLayer    CAPC0402(1005)55_L       13.6000mm    99.3000mm    0        "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C14        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       18.5000mm    22.0000mm    0        "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C13        CAP CER 2.2uF 6.3V 10% X5R 0402     BottomLayer CAPC0402(1005)55_L       5.6000mm     61.9000mm    270      "2.2µF ±10% 6.3V Ceramic Capacitor X5R 0402 (1005 Metric)"                                                    
C12        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       16.5000mm    79.9000mm    0        "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C11        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       1.5000mm     77.1000mm    0        "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C10        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       4.7000mm     61.9000mm    90       "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C9         "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       16.2000mm    61.9000mm    90       "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C8         "CAP CER 0.1uF 16V 10% X7R 0402"    TopLayer    CAPC0402(1005)55_L       18.1772mm    72.4000mm    270      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C7         "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       3.5000mm     62.3000mm    0        "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C6         "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       18.1000mm    79.9000mm    180      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C5         "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       19.5000mm    67.8000mm    270      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C4         CAP CER 2.2uF 6.3V 10% X5R 0402     BottomLayer CAPC0402(1005)55_L       15.5000mm    85.4000mm    270      "2.2µF ±10% 6.3V Ceramic Capacitor X5R 0402 (1005 Metric)"                                                    
C3         "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       17.9000mm    85.4000mm    270      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
C2         "CAP CER 0.01uF 50V 10% X7R 0402"   BottomLayer CAPC0402(1005)55_L       13.6000mm    4.2000mm     180      "10000pF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                   
